'wei'zhi'jue'se 未知角色
'ri'he 日和
'ri'he'li 日和莉
'mao'quan 猫拳
'dong'shan 东山
'you'yi 优衣
'zhong'tian 种田
'pu'tian 普田
'you'yi 由衣
'jie'yi 结衣
'lian 怜
'jian'sheng 剑圣
'pu'lian 普怜
'ling 伶
'xi 禊
'wei'zou'xi 未奏希
'zha'dan 炸弹
'zha'dan'ren 炸弹人
'xiong'hai'zi 熊孩子
'mo'li 茉莉
'tiao'tiao'hu 跳跳虎
'lao'hu 老虎
'hu 虎
'tiao'dao'hu 跳刀虎
'qian'li 茜里
'mei'fa 妹法
'a'ka'li 阿卡丽
'mei'mei'fa 妹妹法
'gong'zi 宫子
'bu'ding 布丁
'bu 布
'you'ling 幽灵
'xue 雪
'xiao'xue 小雪
'jing'zi 镜子
'jing'fa 镜法
'wei'niang 伪娘
'nan'hai'zi 男孩子
'nan'hai'zhi 男孩纸
'xue'ge 雪哥
'xing'nai 杏奈
'zhong'er 中二
'mei'qi'guan 煤气罐
'zhen'bu 真步
'hu'li 狐狸
'zhen'zha 真扎
'gu'lu'ling'bo 咕噜灵波
'zhen'bu 真布
'li'nai 璃乃
'mei'gong 妹弓
'chu'yin 初音
'xing'fa 星法
'xing'xing'fa 星星法
'shui'fa 睡法
'pai'da'xing 拍大星
'qi'qi'xiang 七七香
'na'na'ka 娜娜卡
'xiang 77香
'shi'shi'li 十十力
'xia 霞
'xiang'cheng 香澄
'zhen'tan 侦探
'du'bin'quan 杜宾犬
'lv 驴
'lv'zi 驴子
'lv'mei 驴妹
'mei'li 美里
'sheng'mu 圣母
'ling'nai 铃奈
'bao'ji'gong 暴击弓
'bao'gong 暴弓
'bao'ji'gong 爆击弓
'bao'gong 爆弓
'la'mei'gong 辣妹弓
'zheng'wei 政委
'xiang'zhi 香织
'liu'qiu'quan 琉球犬
'gou'zi 狗子
'gou 狗
'gou'quan 狗拳
'yi'xu 伊绪
'lao'shi 老师
'mei'mo 魅魔
'yi'xu 依绪
'mei'mei 美美
'tu'zi 兔子
'tu'tu 兔兔
'tu'jian 兔剑
'luo'bo'ba'duan'jian 萝卜霸断剑
'ren'can'ba'duan'jian 人参霸断剑
'tian'tu'ba'duan'jian 天兔霸断剑
'hu'tao 胡桃
'ling'dang 铃铛
'yi'li 依里
'jie'fa 姐法
'jie'jie'fa 姐姐法
'ling'yin 绫音
'xiong'chui 熊锤
'ling'mei 铃莓
'nv'pu 女仆
'mei'dou 妹抖
'you'mu'bi 悠木碧
'que 雀
'ling 铃
'song'shu 松鼠
'hui'li'zi 惠理子
'bing'jiao 病娇
'xiao'lian 咲恋
'chong'dian'bao 充电宝
'qing'mei'zhu'ma 青梅竹马
'you'xun'ran 幼驯染
'yuan'zhang 院长
'yuan'zhang 园长
'pu'dian 普电
'wang 望
'ou'xiang 偶像
'xiao'wang 小望
'ni'nuo 妮诺
'ni'nong 妮侬
'shan'zi 扇子
'ren 忍
'pu'ren 普忍
'gui'fu 鬼父
'qiu'nai 秋乃
'ha'ha'jian 哈哈剑
'zhen'yang 真阳
'nai'niu 奶牛
